"region";"civilstånd";"ålder";"kön";"2014"
"01 Stockholms län";"gifta";"30-34 år";"män";26225
"01 Stockholms län";"gifta";"30-34 år";"kvinnor";32962
"01 Stockholms län";"gifta";"35-39 år";"män";36514
"01 Stockholms län";"gifta";"35-39 år";"kvinnor";39917
"01 Stockholms län";"gifta";"40-44 år";"män";43610
"01 Stockholms län";"gifta";"40-44 år";"kvinnor";44242
"01 Stockholms län";"gifta";"45-49 år";"män";41071
"01 Stockholms län";"gifta";"45-49 år";"kvinnor";39366
"01 Stockholms län";"gifta";"50-54 år";"män";36642
"01 Stockholms län";"gifta";"50-54 år";"kvinnor";34135
"01 Stockholms län";"gifta";"55-59 år";"män";32133
"01 Stockholms län";"gifta";"55-59 år";"kvinnor";29888
"01 Stockholms län";"gifta";"60-64 år";"män";29943
"01 Stockholms län";"gifta";"60-64 år";"kvinnor";27899
"01 Stockholms län";"gifta";"65-69 år";"män";32133
"01 Stockholms län";"gifta";"65-69 år";"kvinnor";30126
"01 Stockholms län";"gifta";"70-74 år";"män";27094
"01 Stockholms län";"gifta";"70-74 år";"kvinnor";22713
"01 Stockholms län";"gifta";"75-79 år";"män";16911
"01 Stockholms län";"gifta";"75-79 år";"kvinnor";12991
"01 Stockholms län";"gifta";"80-84 år";"män";10095
"01 Stockholms län";"gifta";"80-84 år";"kvinnor";7151
"01 Stockholms län";"gifta";"85-89 år";"män";5226
"01 Stockholms län";"gifta";"85-89 år";"kvinnor";3392
"01 Stockholms län";"gifta";"90-94 år";"män";1883
"01 Stockholms län";"gifta";"90-94 år";"kvinnor";930
"01 Stockholms län";"gifta";"95-99 år";"män";216
"01 Stockholms län";"gifta";"95-99 år";"kvinnor";91
"01 Stockholms län";"gifta";"100+ år";"män";18
"01 Stockholms län";"gifta";"100+ år";"kvinnor";10
"01 Stockholms län";"skilda";"0-4 år";"män";0
"01 Stockholms län";"skilda";"0-4 år";"kvinnor";0
"01 Stockholms län";"skilda";"5-9 år";"män";0
"01 Stockholms län";"skilda";"5-9 år";"kvinnor";0
"01 Stockholms län";"skilda";"10-14 år";"män";0
"01 Stockholms län";"skilda";"10-14 år";"kvinnor";0
"01 Stockholms län";"skilda";"15-19 år";"män";2
"01 Stockholms län";"skilda";"15-19 år";"kvinnor";3
"01 Stockholms län";"skilda";"20-24 år";"män";153
"01 Stockholms län";"skilda";"20-24 år";"kvinnor";413
"01 Stockholms län";"skilda";"25-29 år";"män";1247
"01 Stockholms län";"skilda";"25-29 år";"kvinnor";2518
"01 Stockholms län";"skilda";"30-34 år";"män";3420
"01 Stockholms län";"skilda";"30-34 år";"kvinnor";5237
"01 Stockholms län";"skilda";"35-39 år";"män";5711
"01 Stockholms län";"skilda";"35-39 år";"kvinnor";7702
"01 Stockholms län";"skilda";"40-44 år";"män";8297
"01 Stockholms län";"skilda";"40-44 år";"kvinnor";11473
"01 Stockholms län";"skilda";"45-49 år";"män";11592
"01 Stockholms län";"skilda";"45-49 år";"kvinnor";15194
"01 Stockholms län";"skilda";"50-54 år";"män";13169
"01 Stockholms län";"skilda";"50-54 år";"kvinnor";16481
"01 Stockholms län";"skilda";"55-59 år";"män";12707
"01 Stockholms län";"skilda";"55-59 år";"kvinnor";15205
"01 Stockholms län";"skilda";"60-64 år";"män";11354
"01 Stockholms län";"skilda";"60-64 år";"kvinnor";14023
"01 Stockholms län";"skilda";"65-69 år";"män";11013
"01 Stockholms län";"skilda";"65-69 år";"kvinnor";15075
"01 Stockholms län";"skilda";"70-74 år";"män";8362
"01 Stockholms län";"skilda";"70-74 år";"kvinnor";12028
"01 Stockholms län";"skilda";"75-79 år";"män";4684
"01 Stockholms län";"skilda";"75-79 år";"kvinnor";7484
"01 Stockholms län";"skilda";"80-84 år";"män";2488
"01 Stockholms län";"skilda";"80-84 år";"kvinnor";4783
"01 Stockholms län";"skilda";"85-89 år";"män";1129
"01 Stockholms län";"skilda";"85-89 år";"kvinnor";2689
"01 Stockholms län";"skilda";"90-94 år";"män";337
"01 Stockholms län";"skilda";"90-94 år";"kvinnor";1329
"01 Stockholms län";"skilda";"95-99 år";"män";44
"01 Stockholms län";"skilda";"95-99 år";"kvinnor";290
"01 Stockholms län";"skilda";"100+ år";"män";2
"01 Stockholms län";"skilda";"100+ år";"kvinnor";41
"01 Stockholms län";"änkor/änklingar";"0-4 år";"män";0
"01 Stockholms län";"änkor/änklingar";"0-4 år";"kvinnor";0
"01 Stockholms län";"änkor/änklingar";"5-9 år";"män";0
"01 Stockholms län";"änkor/änklingar";"5-9 år";"kvinnor";0
"01 Stockholms län";"änkor/änklingar";"10-14 år";"män";0
"01 Stockholms län";"änkor/änklingar";"10-14 år";"kvinnor";0
"01 Stockholms län";"änkor/änklingar";"15-19 år";"män";0
"01 Stockholms län";"änkor/änklingar";"15-19 år";"kvinnor";1
"01 Stockholms län";"änkor/änklingar";"20-24 år";"män";1
"01 Stockholms län";"änkor/änklingar";"20-24 år";"kvinnor";8
"01 Stockholms län";"änkor/änklingar";"25-29 år";"män";11
"01 Stockholms län";"änkor/änklingar";"25-29 år";"kvinnor";37
"01 Stockholms län";"änkor/änklingar";"30-34 år";"män";34
"01 Stockholms län";"änkor/änklingar";"30-34 år";"kvinnor";97
"01 Stockholms län";"änkor/änklingar";"35-39 år";"män";53
"01 Stockholms län";"änkor/änklingar";"35-39 år";"kvinnor";214
"01 Stockholms län";"änkor/änklingar";"40-44 år";"män";116
"01 Stockholms län";"änkor/änklingar";"40-44 år";"kvinnor";393
"01 Stockholms län";"änkor/änklingar";"45-49 år";"män";221
"01 Stockholms län";"änkor/änklingar";"45-49 år";"kvinnor";646
"01 Stockholms län";"änkor/änklingar";"50-54 år";"män";332
"01 Stockholms län";"änkor/änklingar";"50-54 år";"kvinnor";1099
"01 Stockholms län";"änkor/änklingar";"55-59 år";"män";499
"01 Stockholms län";"änkor/änklingar";"55-59 år";"kvinnor";1757
"01 Stockholms län";"änkor/änklingar";"60-64 år";"män";818
"01 Stockholms län";"änkor/änklingar";"60-64 år";"kvinnor";2944
"01 Stockholms län";"änkor/änklingar";"65-69 år";"män";1575
"01 Stockholms län";"änkor/änklingar";"65-69 år";"kvinnor";5347
"01 Stockholms län";"änkor/änklingar";"70-74 år";"män";2222
"01 Stockholms län";"änkor/änklingar";"70-74 år";"kvinnor";7396
"01 Stockholms län";"änkor/änklingar";"75-79 år";"män";2378
"01 Stockholms län";"änkor/änklingar";"75-79 år";"kvinnor";8664
"01 Stockholms län";"änkor/änklingar";"80-84 år";"män";2661
"01 Stockholms län";"änkor/änklingar";"80-84 år";"kvinnor";10157
"01 Stockholms län";"änkor/änklingar";"85-89 år";"män";2742
"01 Stockholms län";"änkor/änklingar";"85-89 år";"kvinnor";10467
"01 Stockholms län";"änkor/änklingar";"90-94 år";"män";1781
"01 Stockholms län";"änkor/änklingar";"90-94 år";"kvinnor";7195
"01 Stockholms län";"änkor/änklingar";"95-99 år";"män";446
"01 Stockholms län";"änkor/änklingar";"95-99 år";"kvinnor";2071
"01 Stockholms län";"änkor/änklingar";"100+ år";"män";41
"01 Stockholms län";"änkor/änklingar";"100+ år";"kvinnor";312
"03 Uppsala län";"ogifta";"0-4 år";"män";10656
"03 Uppsala län";"ogifta";"0-4 år";"kvinnor";10105
"03 Uppsala län";"ogifta";"5-9 år";"män";10582
"03 Uppsala län";"ogifta";"5-9 år";"kvinnor";9941
"03 Uppsala län";"ogifta";"10-14 år";"män";9755
"03 Uppsala län";"ogifta";"10-14 år";"kvinnor";9103
"03 Uppsala län";"ogifta";"15-19 år";"män";9798
"03 Uppsala län";"ogifta";"15-19 år";"kvinnor";9083
"03 Uppsala län";"ogifta";"20-24 år";"män";14199
"03 Uppsala län";"ogifta";"20-24 år";"kvinnor";14081
"03 Uppsala län";"ogifta";"25-29 år";"män";12325
"03 Uppsala län";"ogifta";"25-29 år";"kvinnor";10746
"03 Uppsala län";"ogifta";"30-34 år";"män";7290
"03 Uppsala län";"ogifta";"30-34 år";"kvinnor";5653
"03 Uppsala län";"ogifta";"35-39 år";"män";5225
"03 Uppsala län";"ogifta";"35-39 år";"kvinnor";4079
"03 Uppsala län";"ogifta";"40-44 år";"män";4492
"03 Uppsala län";"ogifta";"40-44 år";"kvinnor";3561
"03 Uppsala län";"ogifta";"45-49 år";"män";4075
"03 Uppsala län";"ogifta";"45-49 år";"kvinnor";3400
"03 Uppsala län";"ogifta";"50-54 år";"män";3182
"03 Uppsala län";"ogifta";"50-54 år";"kvinnor";2714
"03 Uppsala län";"ogifta";"55-59 år";"män";2586
"03 Uppsala län";"ogifta";"55-59 år";"kvinnor";2131
"03 Uppsala län";"ogifta";"60-64 år";"män";1979
"03 Uppsala län";"ogifta";"60-64 år";"kvinnor";1567
"03 Uppsala län";"ogifta";"65-69 år";"män";1662
"03 Uppsala län";"ogifta";"65-69 år";"kvinnor";1339
"03 Uppsala län";"ogifta";"70-74 år";"män";868
"03 Uppsala län";"ogifta";"70-74 år";"kvinnor";628
"03 Uppsala län";"ogifta";"75-79 år";"män";398
"03 Uppsala län";"ogifta";"75-79 år";"kvinnor";337
"03 Uppsala län";"ogifta";"80-84 år";"män";232
"03 Uppsala län";"ogifta";"80-84 år";"kvinnor";228
"03 Uppsala län";"ogifta";"85-89 år";"män";139
"03 Uppsala län";"ogifta";"85-89 år";"kvinnor";143
"03 Uppsala län";"ogifta";"90-94 år";"män";50
"03 Uppsala län";"ogifta";"90-94 år";"kvinnor";76
"03 Uppsala län";"ogifta";"95-99 år";"män";5
"03 Uppsala län";"ogifta";"95-99 år";"kvinnor";24
"03 Uppsala län";"ogifta";"100+ år";"män";0
"03 Uppsala län";"ogifta";"100+ år";"kvinnor";2
"03 Uppsala län";"gifta";"0-4 år";"män";0
"03 Uppsala län";"gifta";"0-4 år";"kvinnor";0
"03 Uppsala län";"gifta";"5-9 år";"män";0
"03 Uppsala län";"gifta";"5-9 år";"kvinnor";0
"03 Uppsala län";"gifta";"10-14 år";"män";0
"03 Uppsala län";"gifta";"10-14 år";"kvinnor";0
"03 Uppsala län";"gifta";"15-19 år";"män";2
"03 Uppsala län";"gifta";"15-19 år";"kvinnor";19
"03 Uppsala län";"gifta";"20-24 år";"män";234
"03 Uppsala län";"gifta";"20-24 år";"kvinnor";582
"03 Uppsala län";"gifta";"25-29 år";"män";1413
"03 Uppsala län";"gifta";"25-29 år";"kvinnor";2333
"03 Uppsala län";"gifta";"30-34 år";"män";3446
"03 Uppsala län";"gifta";"30-34 år";"kvinnor";4367
"03 Uppsala län";"gifta";"35-39 år";"män";4912
"03 Uppsala län";"gifta";"35-39 år";"kvinnor";5515
"03 Uppsala län";"gifta";"40-44 år";"män";5961
"03 Uppsala län";"gifta";"40-44 år";"kvinnor";6223
"03 Uppsala län";"gifta";"45-49 år";"män";5890
"03 Uppsala län";"gifta";"45-49 år";"kvinnor";6053
"03 Uppsala län";"gifta";"50-54 år";"män";5650
"03 Uppsala län";"gifta";"50-54 år";"kvinnor";5604
"03 Uppsala län";"gifta";"55-59 år";"män";5520
"03 Uppsala län";"gifta";"55-59 år";"kvinnor";5586
"03 Uppsala län";"gifta";"60-64 år";"män";5753
"03 Uppsala län";"gifta";"60-64 år";"kvinnor";5685
"03 Uppsala län";"gifta";"65-69 år";"män";6625
"03 Uppsala län";"gifta";"65-69 år";"kvinnor";6241
"03 Uppsala län";"gifta";"70-74 år";"män";5292
"03 Uppsala län";"gifta";"70-74 år";"kvinnor";4447
"03 Uppsala län";"gifta";"75-79 år";"män";3300
"03 Uppsala län";"gifta";"75-79 år";"kvinnor";2654
"03 Uppsala län";"gifta";"80-84 år";"män";2002
"03 Uppsala län";"gifta";"80-84 år";"kvinnor";1368
"03 Uppsala län";"gifta";"85-89 år";"män";1095
"03 Uppsala län";"gifta";"85-89 år";"kvinnor";625
"03 Uppsala län";"gifta";"90-94 år";"män";287
"03 Uppsala län";"gifta";"90-94 år";"kvinnor";124
"03 Uppsala län";"gifta";"95-99 år";"män";26
"03 Uppsala län";"gifta";"95-99 år";"kvinnor";13
"03 Uppsala län";"gifta";"100+ år";"män";1
"03 Uppsala län";"gifta";"100+ år";"kvinnor";0
"03 Uppsala län";"skilda";"0-4 år";"män";0
"03 Uppsala län";"skilda";"0-4 år";"kvinnor";0
"03 Uppsala län";"skilda";"5-9 år";"män";0
"03 Uppsala län";"skilda";"5-9 år";"kvinnor";0
"03 Uppsala län";"skilda";"10-14 år";"män";0
"03 Uppsala län";"skilda";"10-14 år";"kvinnor";0
"03 Uppsala län";"skilda";"15-19 år";"män";0
"03 Uppsala län";"skilda";"15-19 år";"kvinnor";0
"03 Uppsala län";"skilda";"20-24 år";"män";16
"03 Uppsala län";"skilda";"20-24 år";"kvinnor";55
"03 Uppsala län";"skilda";"25-29 år";"män";156
"03 Uppsala län";"skilda";"25-29 år";"kvinnor";280
"03 Uppsala län";"skilda";"30-34 år";"män";402
"03 Uppsala län";"skilda";"30-34 år";"kvinnor";505
"03 Uppsala län";"skilda";"35-39 år";"män";601
"03 Uppsala län";"skilda";"35-39 år";"kvinnor";869
"03 Uppsala län";"skilda";"40-44 år";"män";976
"03 Uppsala län";"skilda";"40-44 år";"kvinnor";1390
"03 Uppsala län";"skilda";"45-49 år";"män";1523
"03 Uppsala län";"skilda";"45-49 år";"kvinnor";1988
"03 Uppsala län";"skilda";"50-54 år";"män";1804
"03 Uppsala län";"skilda";"50-54 år";"kvinnor";2203
"03 Uppsala län";"skilda";"55-59 år";"män";1833
"03 Uppsala län";"skilda";"55-59 år";"kvinnor";2189
"03 Uppsala län";"skilda";"60-64 år";"män";1807
"03 Uppsala län";"skilda";"60-64 år";"kvinnor";2150
"03 Uppsala län";"skilda";"65-69 år";"män";1892
"03 Uppsala län";"skilda";"65-69 år";"kvinnor";2272
"03 Uppsala län";"skilda";"70-74 år";"män";1439
"03 Uppsala län";"skilda";"70-74 år";"kvinnor";1810
"03 Uppsala län";"skilda";"75-79 år";"män";806
"03 Uppsala län";"skilda";"75-79 år";"kvinnor";1047
"03 Uppsala län";"skilda";"80-84 år";"män";430
"03 Uppsala län";"skilda";"80-84 år";"kvinnor";660
"03 Uppsala län";"skilda";"85-89 år";"män";180
"03 Uppsala län";"skilda";"85-89 år";"kvinnor";342
"03 Uppsala län";"skilda";"90-94 år";"män";42
"03 Uppsala län";"skilda";"90-94 år";"kvinnor";152
"03 Uppsala län";"skilda";"95-99 år";"män";3
"03 Uppsala län";"skilda";"95-99 år";"kvinnor";33
"03 Uppsala län";"skilda";"100+ år";"män";0
"03 Uppsala län";"skilda";"100+ år";"kvinnor";5
"03 Uppsala län";"änkor/änklingar";"0-4 år";"män";0
"03 Uppsala län";"änkor/änklingar";"0-4 år";"kvinnor";0
"03 Uppsala län";"änkor/änklingar";"5-9 år";"män";0
"03 Uppsala län";"änkor/änklingar";"5-9 år";"kvinnor";0
"03 Uppsala län";"änkor/änklingar";"10-14 år";"män";0
"03 Uppsala län";"änkor/änklingar";"10-14 år";"kvinnor";0
"03 Uppsala län";"änkor/änklingar";"15-19 år";"män";0
"03 Uppsala län";"änkor/änklingar";"15-19 år";"kvinnor";0
"03 Uppsala län";"änkor/änklingar";"20-24 år";"män";0
"03 Uppsala län";"änkor/änklingar";"20-24 år";"kvinnor";0
"03 Uppsala län";"änkor/änklingar";"25-29 år";"män";2
"03 Uppsala län";"änkor/änklingar";"25-29 år";"kvinnor";3
"03 Uppsala län";"änkor/änklingar";"30-34 år";"män";4
"03 Uppsala län";"änkor/änklingar";"30-34 år";"kvinnor";12
"03 Uppsala län";"änkor/änklingar";"35-39 år";"män";15
"03 Uppsala län";"änkor/änklingar";"35-39 år";"kvinnor";26
"03 Uppsala län";"änkor/änklingar";"40-44 år";"män";26
"03 Uppsala län";"änkor/änklingar";"40-44 år";"kvinnor";66
"03 Uppsala län";"änkor/änklingar";"45-49 år";"män";26
"03 Uppsala län";"änkor/änklingar";"45-49 år";"kvinnor";72
"03 Uppsala län";"änkor/änklingar";"50-54 år";"män";39
"03 Uppsala län";"änkor/änklingar";"50-54 år";"kvinnor";150
"03 Uppsala län";"änkor/änklingar";"55-59 år";"män";69
"03 Uppsala län";"änkor/änklingar";"55-59 år";"kvinnor";277
"03 Uppsala län";"änkor/änklingar";"60-64 år";"män";155
"03 Uppsala län";"änkor/änklingar";"60-64 år";"kvinnor";500
"03 Uppsala län";"änkor/änklingar";"65-69 år";"män";356
"03 Uppsala län";"änkor/änklingar";"65-69 år";"kvinnor";983
"03 Uppsala län";"änkor/änklingar";"70-74 år";"män";443
"03 Uppsala län";"änkor/änklingar";"70-74 år";"kvinnor";1324
"03 Uppsala län";"änkor/änklingar";"75-79 år";"män";517
"03 Uppsala län";"änkor/änklingar";"75-79 år";"kvinnor";1563
"03 Uppsala län";"änkor/änklingar";"80-84 år";"män";566
"03 Uppsala län";"änkor/änklingar";"80-84 år";"kvinnor";1990
"03 Uppsala län";"änkor/änklingar";"85-89 år";"män";558
"03 Uppsala län";"änkor/änklingar";"85-89 år";"kvinnor";1942
"03 Uppsala län";"änkor/änklingar";"90-94 år";"män";331
"03 Uppsala län";"änkor/änklingar";"90-94 år";"kvinnor";1290
"03 Uppsala län";"änkor/änklingar";"95-99 år";"män";97
"03 Uppsala län";"änkor/änklingar";"95-99 år";"kvinnor";342
"03 Uppsala län";"änkor/änklingar";"100+ år";"män";7
"03 Uppsala län";"änkor/änklingar";"100+ år";"kvinnor";44
"04 Södermanlands län";"ogifta";"0-4 år";"män";8363
"04 Södermanlands län";"ogifta";"0-4 år";"kvinnor";7767
"04 Södermanlands län";"ogifta";"5-9 år";"män";8537
"04 Södermanlands län";"ogifta";"5-9 år";"kvinnor";8140
"04 Södermanlands län";"ogifta";"10-14 år";"män";8247
"04 Södermanlands län";"ogifta";"10-14 år";"kvinnor";7794
"04 Södermanlands län";"ogifta";"15-19 år";"män";8204
"04 Södermanlands län";"ogifta";"15-19 år";"kvinnor";7699
"04 Södermanlands län";"ogifta";"20-24 år";"män";8905
"04 Södermanlands län";"ogifta";"20-24 år";"kvinnor";7842
"04 Södermanlands län";"ogifta";"25-29 år";"män";6962
"04 Södermanlands län";"ogifta";"25-29 år";"kvinnor";5510
"04 Södermanlands län";"ogifta";"30-34 år";"män";4770
"04 Södermanlands län";"ogifta";"30-34 år";"kvinnor";3694
"04 Södermanlands län";"ogifta";"35-39 år";"män";3848
"04 Södermanlands län";"ogifta";"35-39 år";"kvinnor";2831
"04 Södermanlands län";"ogifta";"40-44 år";"män";3416
"04 Södermanlands län";"ogifta";"40-44 år";"kvinnor";2790
"04 Södermanlands län";"ogifta";"45-49 år";"män";3479
"04 Södermanlands län";"ogifta";"45-49 år";"kvinnor";2716
"04 Södermanlands län";"ogifta";"50-54 år";"män";2934
"04 Södermanlands län";"ogifta";"50-54 år";"kvinnor";2159
"04 Södermanlands län";"ogifta";"55-59 år";"män";2185
"04 Södermanlands län";"ogifta";"55-59 år";"kvinnor";1642
"04 Södermanlands län";"ogifta";"60-64 år";"män";1742
"04 Södermanlands län";"ogifta";"60-64 år";"kvinnor";1281
"04 Södermanlands län";"ogifta";"65-69 år";"män";1355
"04 Södermanlands län";"ogifta";"65-69 år";"kvinnor";898
"04 Södermanlands län";"ogifta";"70-74 år";"män";751
"04 Södermanlands län";"ogifta";"70-74 år";"kvinnor";476
"04 Södermanlands län";"ogifta";"75-79 år";"män";333
"04 Södermanlands län";"ogifta";"75-79 år";"kvinnor";242
"04 Södermanlands län";"ogifta";"80-84 år";"män";200
"04 Södermanlands län";"ogifta";"80-84 år";"kvinnor";151
"04 Södermanlands län";"ogifta";"85-89 år";"män";97
"04 Södermanlands län";"ogifta";"85-89 år";"kvinnor";117
"04 Södermanlands län";"ogifta";"90-94 år";"män";30
"04 Södermanlands län";"ogifta";"90-94 år";"kvinnor";59
"04 Södermanlands län";"ogifta";"95-99 år";"män";2
"04 Södermanlands län";"ogifta";"95-99 år";"kvinnor";12
"04 Södermanlands län";"ogifta";"100+ år";"män";1
"04 Södermanlands län";"ogifta";"100+ år";"kvinnor";3
"04 Södermanlands län";"gifta";"0-4 år";"män";0
"04 Södermanlands län";"gifta";"0-4 år";"kvinnor";0
"04 Södermanlands län";"gifta";"5-9 år";"män";0
"04 Södermanlands län";"gifta";"5-9 år";"kvinnor";0
"04 Södermanlands län";"gifta";"10-14 år";"män";0
"04 Södermanlands län";"gifta";"10-14 år";"kvinnor";0
"04 Södermanlands län";"gifta";"15-19 år";"män";4
"04 Södermanlands län";"gifta";"15-19 år";"kvinnor";39
"04 Södermanlands län";"gifta";"20-24 år";"män";244
"04 Södermanlands län";"gifta";"20-24 år";"kvinnor";544
"04 Södermanlands län";"gifta";"25-29 år";"män";1140
"04 Södermanlands län";"gifta";"25-29 år";"kvinnor";1947
"04 Södermanlands län";"gifta";"30-34 år";"män";2395
"04 Södermanlands län";"gifta";"30-34 år";"kvinnor";3180
"04 Södermanlands län";"gifta";"35-39 år";"män";3541
"04 Södermanlands län";"gifta";"35-39 år";"kvinnor";3927
"04 Södermanlands län";"gifta";"40-44 år";"män";4521
"04 Södermanlands län";"gifta";"40-44 år";"kvinnor";4840
"04 Södermanlands län";"gifta";"45-49 år";"män";4897
"04 Södermanlands län";"gifta";"45-49 år";"kvinnor";4852
"04 Södermanlands län";"gifta";"50-54 år";"män";4616
"04 Södermanlands län";"gifta";"50-54 år";"kvinnor";4620
"04 Södermanlands län";"gifta";"55-59 år";"män";4678
"04 Södermanlands län";"gifta";"55-59 år";"kvinnor";4784
"04 Södermanlands län";"gifta";"60-64 år";"män";5052
"04 Södermanlands län";"gifta";"60-64 år";"kvinnor";5187
"04 Södermanlands län";"gifta";"65-69 år";"män";6178
"04 Södermanlands län";"gifta";"65-69 år";"kvinnor";5988
"04 Södermanlands län";"gifta";"70-74 år";"män";5262
"04 Södermanlands län";"gifta";"70-74 år";"kvinnor";4504
"04 Södermanlands län";"gifta";"75-79 år";"män";3426
"04 Södermanlands län";"gifta";"75-79 år";"kvinnor";2644
"04 Södermanlands län";"gifta";"80-84 år";"män";2008
"04 Södermanlands län";"gifta";"80-84 år";"kvinnor";1370
"04 Södermanlands län";"gifta";"85-89 år";"män";1010
"04 Södermanlands län";"gifta";"85-89 år";"kvinnor";594
"04 Södermanlands län";"gifta";"90-94 år";"män";314
"04 Södermanlands län";"gifta";"90-94 år";"kvinnor";120
"04 Södermanlands län";"gifta";"95-99 år";"män";36
"04 Södermanlands län";"gifta";"95-99 år";"kvinnor";13
"04 Södermanlands län";"gifta";"100+ år";"män";1
"04 Södermanlands län";"gifta";"100+ år";"kvinnor";1
"04 Södermanlands län";"skilda";"0-4 år";"män";0
"04 Södermanlands län";"skilda";"0-4 år";"kvinnor";0
"04 Södermanlands län";"skilda";"5-9 år";"män";0
"04 Södermanlands län";"skilda";"5-9 år";"kvinnor";0
"04 Södermanlands län";"skilda";"10-14 år";"män";0
"04 Södermanlands län";"skilda";"10-14 år";"kvinnor";0
"04 Södermanlands län";"skilda";"15-19 år";"män";0
"04 Södermanlands län";"skilda";"15-19 år";"kvinnor";4
"04 Södermanlands län";"skilda";"20-24 år";"män";15
"04 Södermanlands län";"skilda";"20-24 år";"kvinnor";68
"04 Södermanlands län";"skilda";"25-29 år";"män";131
"04 Södermanlands län";"skilda";"25-29 år";"kvinnor";295
"04 Södermanlands län";"skilda";"30-34 år";"män";357
"04 Södermanlands län";"skilda";"30-34 år";"kvinnor";620
"04 Södermanlands län";"skilda";"35-39 år";"män";602
"04 Södermanlands län";"skilda";"35-39 år";"kvinnor";810
"04 Södermanlands län";"skilda";"40-44 år";"män";933
"04 Södermanlands län";"skilda";"40-44 år";"kvinnor";1268
"04 Södermanlands län";"skilda";"45-49 år";"män";1431
"04 Södermanlands län";"skilda";"45-49 år";"kvinnor";1720
"04 Södermanlands län";"skilda";"50-54 år";"män";1608
"04 Södermanlands län";"skilda";"50-54 år";"kvinnor";1933
"04 Södermanlands län";"skilda";"55-59 år";"män";1679
"04 Södermanlands län";"skilda";"55-59 år";"kvinnor";1891
"04 Södermanlands län";"skilda";"60-64 år";"män";1625
"04 Södermanlands län";"skilda";"60-64 år";"kvinnor";1846
"04 Södermanlands län";"skilda";"65-69 år";"män";1790
"04 Södermanlands län";"skilda";"65-69 år";"kvinnor";2099
"04 Södermanlands län";"skilda";"70-74 år";"män";1417
"04 Södermanlands län";"skilda";"70-74 år";"kvinnor";1639
